EXPORTED CROSS SECTION DATA
513 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
1.1000000000e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 
8.7000000000e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 
1.0110000000e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 
1.0110000000e-02 -4.5922462200e-17 -8.7642214300e-01 9.2586000000e-01 
1.0490000000e-02 -4.2434680261e-17 -9.0760334303e-01 8.9467879967e-01 
1.5110000000e-02 0.0000000000e+00 -1.2868498170e+00 5.1543232758e-01 
1.5490000000e-02 0.0000000000e+00 -1.3068613724e+00 4.9542077229e-01 
2.0110000000e-02 4.2434680261e-17 -1.5502731176e+00 2.5200902618e-01 
2.0490000000e-02 4.2434680261e-17 -1.5591084768e+00 2.4317366739e-01 
2.5100000000e-02 0.0000000000e+00 -1.6666166765e+00 1.3566546315e-01 
2.5290000000e-02 3.4877819392e-18 -1.6668525091e+00 1.3542962996e-01 
2.7620000000e-02 3.4877819392e-18 -1.6697494356e+00 1.3253270813e-01 
2.7720000000e-02 3.4877819392e-18 -1.6687907016e+00 1.3349144235e-01 
2.8900000000e-02 3.4877819392e-18 -1.6571444480e+00 1.4513769510e-01 
2.8950000000e-02 0.0000000000e+00 -1.6563852118e+00 1.4589693153e-01 
2.9540000000e-02 0.0000000000e+00 -1.6471580580e+00 1.5512408348e-01 
2.9560000000e-02 0.0000000000e+00 -1.6467044397e+00 1.5557770141e-01 
2.9860000000e-02 4.2434680261e-17 -1.6411908052e+00 1.6109133319e-01 
2.9880000000e-02 4.5922462200e-17 -1.6409438065e+00 1.6133833200e-01 
3.0030000000e-02 3.4877819392e-18 -1.6379414366e+00 1.6434071019e-01 
3.0110000000e-02 2.6158364506e-18 -1.5223582949e+00 -9.9876152134e-02 
3.0110000000e-02 2.6158364506e-18 -1.5223582949e+00 -9.9876152134e-02 
3.0120000000e-02 1.7438909696e-18 -1.5222112630e+00 -9.9729120281e-02 
3.0210000000e-02 1.7438909696e-18 -1.5204239366e+00 -9.7941789482e-02 
3.0220000000e-02 -8.7194548101e-19 -1.5202796556e+00 -9.7797508849e-02 
3.0310000000e-02 2.0345394649e-17 -1.5185257520e+00 -9.6043610572e-02 
3.0320000000e-02 2.0345394649e-17 -1.5183841520e+00 -9.5902010823e-02 
3.0410000000e-02 2.0345394649e-17 -1.5166628305e+00 -9.4180690690e-02 
3.0420000000e-02 1.9473449161e-17 -1.5165238439e+00 -9.4041703568e-02 
3.0510000000e-02 1.9473449161e-17 -1.5148342728e+00 -9.2352132244e-02 
3.0520000000e-02 2.2961231100e-17 -1.5146978320e+00 -9.2215691515e-02 
3.0610000000e-02 -3.0082119180e-17 -1.5130392073e+00 -9.0557064059e-02 
3.0620000000e-02 -3.0954064668e-17 -1.5129052486e+00 -9.0423105401e-02 
3.0710000000e-02 8.7194548101e-19 -1.5112767849e+00 -8.8794640252e-02 
3.0720000000e-02 1.7438909696e-18 -1.5111452459e+00 -8.8663101227e-02 
3.0810000000e-02 1.7438909696e-18 -1.5095461856e+00 -8.7064039923e-02 
3.0820000000e-02 2.6158364506e-18 -1.5094170056e+00 -8.6934859930e-02 
3.0910000000e-02 -1.8601503680e-17 -1.5078466092e+00 -8.5364465727e-02 
3.0920000000e-02 -2.0345394649e-17 -1.5077197290e+00 -8.5237585891e-02 
3.1010000000e-02 2.2089285611e-17 -1.5061772852e+00 -8.3695143665e-02 
3.1020000000e-02 2.2961231100e-17 -1.5060526485e+00 -8.3570506842e-02 
3.1110000000e-02 1.7438909696e-18 -1.5045374642e+00 -8.2055321984e-02 
3.1120000000e-02 8.7194548101e-19 -1.5044150148e+00 -8.1932872647e-02 
3.1210000000e-02 -3.0954064668e-17 -1.5029264154e+00 -8.0444270877e-02 
3.1220000000e-02 -3.1826010149e-17 -1.5028061003e+00 -8.0323955133e-02 
3.1310000000e-02 0.0000000000e+00 -1.5013434205e+00 -7.8861281115e-02 
3.1320000000e-02 0.0000000000e+00 -1.5012251856e+00 -7.8743046589e-02 
3.1410000000e-02 -3.1826010149e-17 -1.4997878063e+00 -7.7305664206e-02 
3.1420000000e-02 -3.3569901119e-17 -1.4996716023e+00 -7.7189460019e-02 
3.1510000000e-02 -3.3569901119e-17 -1.4982588952e+00 -7.5776750990e-02 
3.1520000000e-02 -3.1826010149e-17 -1.4981446719e+00 -7.5662527737e-02 
3.1610000000e-02 -1.0608670019e-17 -1.4967560363e+00 -7.4273891613e-02 
3.1620000000e-02 -9.7367245380e-18 -1.4966437459e+00 -7.4161601271e-02 
3.1710000000e-02 -9.7367245380e-18 -1.4952785997e+00 -7.2796454606e-02 
3.1720000000e-02 -1.1480615500e-17 -1.4951681959e+00 -7.2686050528e-02 
3.1810000000e-02 -2.2089285611e-17 -1.4938259662e+00 -7.1343826510e-02 
3.1820000000e-02 -2.2089285611e-17 -1.4937174027e+00 -7.1235263361e-02 
3.1910000000e-02 -8.7194548101e-19 -1.4923975534e+00 -6.9915411071e-02 
3.1920000000e-02 0.0000000000e+00 -1.4922907876e+00 -6.9808644792e-02 
3.2010000000e-02 0.0000000000e+00 -1.4909927737e+00 -6.8510628928e-02 
3.2020000000e-02 2.6158364506e-18 -1.4908877608e+00 -6.8405616700e-02 
3.2110000000e-02 -7.9928335684e-18 -1.4896110554e+00 -6.7128917020e-02 
3.2120000000e-02 -8.8647790494e-18 -1.4895077559e+00 -6.7025617238e-02 
3.2210000000e-02 -1.9473449161e-17 -1.4882518695e+00 -6.5769728010e-02 
3.2220000000e-02 -2.2089285611e-17 -1.4881502416e+00 -6.5668100223e-02 
3.2310000000e-02 -3.2697955630e-17 -1.4869146751e+00 -6.4432529944e-02 
3.2320000000e-02 -3.0954064668e-17 -1.4868146801e+00 -6.4332534818e-02 
3.2410000000e-02 -2.0345394649e-17 -1.4855989529e+00 -6.3116805662e-02 
3.2420000000e-02 -1.9473449161e-17 -1.4855005522e+00 -6.3018404978e-02 
3.2510000000e-02 1.7438909696e-18 -1.4843041930e+00 -6.1822052425e-02 
3.2520000000e-02 -8.7194548101e-19 -1.4842073492e+00 -6.1725209008e-02 
3.2610000000e-02 -1.1480615500e-17 -1.4830299239e+00 -6.0547781381e-02 
3.2620000000e-02 -1.0608670019e-17 -1.4829346022e+00 -6.0452459100e-02 
3.2710000000e-02 -1.0608670019e-17 -1.4817756578e+00 -5.9293517291e-02 
3.2720000000e-02 -9.7367245380e-18 -1.4816818216e+00 -5.9199680990e-02 
