EXPORTED CROSS SECTION DATA
504 2 2
x coordinate
Electron Conc
2.5000000000e-04 0.0000000000e+00 
1.2700000000e-03 0.0000000000e+00 
1.0250000000e-02 0.0000000000e+00 
1.0250000000e-02 1.9534713800e+02 
1.0760000000e-02 1.9576563967e+02 
1.5250000000e-02 1.9835019156e+02 
1.5760000000e-02 1.9877146062e+02 
2.0250000000e-02 2.0137120920e+02 
2.0760000000e-02 2.0178932880e+02 
2.5250000000e-02 2.0437678629e+02 
2.5500000000e-02 2.0458534518e+02 
2.7770000000e-02 2.0588054515e+02 
2.7900000000e-02 2.0598499994e+02 
2.9040000000e-02 2.0663504089e+02 
2.9110000000e-02 2.0668754549e+02 
2.9680000000e-02 2.0701465597e+02 
2.9720000000e-02 2.0704110620e+02 
3.0010000000e-02 2.0720598977e+02 
3.0020000000e-02 2.0721933104e+02 
3.0170000000e-02 2.0730252147e+02 
3.0180000000e-02 3.9088603050e+05 
3.0250000000e-02 3.7764628294e+06 
3.0250000000e-02 3.7764628294e+06 
3.0260000000e-02 3.7766010218e+06 
3.0350000000e-02 3.7774629708e+06 
3.0360000000e-02 3.7776010730e+06 
3.0450000000e-02 3.7784625906e+06 
3.0460000000e-02 3.7786006038e+06 
3.0550000000e-02 3.7794616900e+06 
3.0560000000e-02 3.7795996130e+06 
3.0650000000e-02 3.7804602589e+06 
3.0660000000e-02 3.7805980918e+06 
3.0750000000e-02 3.7814583062e+06 
3.0760000000e-02 3.7815960470e+06 
3.0850000000e-02 3.7824558120e+06 
3.0860000000e-02 3.7825934627e+06 
3.0950000000e-02 3.7834527873e+06 
3.0960000000e-02 3.7835903448e+06 
3.1050000000e-02 3.7844492201e+06 
3.1060000000e-02 3.7845866854e+06 
3.1150000000e-02 3.7854451114e+06 
3.1160000000e-02 3.7855824835e+06 
3.1250000000e-02 3.7864404511e+06 
3.1260000000e-02 3.7865777291e+06 
3.1350000000e-02 3.7874352473e+06 
3.1360000000e-02 3.7875724311e+06 
3.1450000000e-02 3.7884294820e+06 
3.1460000000e-02 3.7885665716e+06 
3.1550000000e-02 3.7894231552e+06 
