EXPORTED CROSS SECTION DATA
60 2 2
x coordinate
Electron Conc
5.1190000000e-02 0.0000000000e+00 
6.3110000000e-02 0.0000000000e+00 
1.0150000000e-01 0.0000000000e+00 
1.0321000000e-01 0.0000000000e+00 
1.0869000000e-01 0.0000000000e+00 
1.0988000000e-01 0.0000000000e+00 
1.1369000000e-01 0.0000000000e+00 
1.1488000000e-01 0.0000000000e+00 
1.1869000000e-01 0.0000000000e+00 
1.1988000000e-01 0.0000000000e+00 
1.2369000000e-01 0.0000000000e+00 
1.2488000000e-01 0.0000000000e+00 
1.2869000000e-01 0.0000000000e+00 
1.2988000000e-01 0.0000000000e+00 
1.3369000000e-01 0.0000000000e+00 
1.3473000000e-01 0.0000000000e+00 
1.3807000000e-01 0.0000000000e+00 
1.3910000000e-01 0.0000000000e+00 
1.4244000000e-01 0.0000000000e+00 
1.4348000000e-01 0.0000000000e+00 
1.4682000000e-01 0.0000000000e+00 
1.4785000000e-01 0.0000000000e+00 
1.5119000000e-01 0.0000000000e+00 
1.5119000000e-01 1.5321450800e-12 
1.5238000000e-01 3.7397963590e-07 
1.5619000000e-01 1.5781891300e-06 
1.5738000000e-01 3.8521847672e-01 
1.6119000000e-01 1.6256168900e+00 
1.6238000000e-01 7.4743158294e+18 
1.6619000000e-01 3.1541612800e+19 
1.6619000000e-01 3.1541612800e+19 
1.6738000000e-01 2.4320412163e+19 
1.7119000000e-01 1.0681461100e+18 
1.7238000000e-01 8.2038985436e+17 
1.7619000000e-01 2.2614711124e+16 
1.7738000000e-01 1.7650172074e+16 
1.8119000000e-01 1.6643564024e+15 
1.8238000000e-01 1.3654563704e+15 
1.8619000000e-01 4.0299827271e+14 
1.8738000000e-01 3.5627028029e+14 
1.9119000000e-01 2.0580614471e+14 
1.9238000000e-01 1.9291651841e+14 
1.9619000000e-01 1.5141192018e+14 
1.9738000000e-01 1.4653381545e+14 
2.0119000000e-01 1.3082631513e+14 
2.0238000000e-01 1.2825278362e+14 
2.0619000000e-01 1.1996600527e+14 
2.0738000000e-01 1.1756977754e+14 
2.1119000000e-01 1.0985390977e+14 
2.1238000000e-01 1.0619038953e+14 
2.1619000000e-01 9.4393826593e+13 
2.1717000000e-01 9.1771032612e+13 
2.2031000000e-01 8.3325619970e+13 
2.2244000000e-01 7.8609055846e+13 
2.2933000000e-01 6.3421698844e+13 
2.3401000000e-01 5.6667424081e+13 
2.4910000000e-01 3.4918655834e+13 
2.5936000000e-01 2.8889764704e+13 
2.9243000000e-01 9.4767794437e+12 
3.1493000000e-01 7.3605477186e+12 
