EXPORTED CROSS SECTION DATA
284 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
8.6940000000e-02 -3.0000000000e+00 -3.9559746439e+00 -2.8759746439e+00 
9.6840000000e-02 -3.0000000000e+00 -3.9559743420e+00 -2.8759743420e+00 
1.5690000000e-01 -3.0000000000e+00 -3.9559733418e+00 -2.8759733418e+00 
1.6350000000e-01 -3.0000000000e+00 -3.9559724826e+00 -2.8759724826e+00 
2.0855000000e-01 -3.0000000000e+00 -3.9559721222e+00 -2.8759721222e+00 
2.1350000000e-01 -3.0000000000e+00 -3.9559709730e+00 -2.8759709730e+00 
2.4354000000e-01 -3.0000000000e+00 -3.9561541669e+00 -2.8761541669e+00 
2.4684000000e-01 -3.0000000000e+00 -3.9561557645e+00 -2.8761557645e+00 
2.7846000000e-01 -3.0000000000e+00 -3.9858180316e+00 -2.9058180316e+00 
2.8193000000e-01 -3.0000000000e+00 -3.9860418745e+00 -2.9060418745e+00 
3.0642000000e-01 -3.0000000000e+00 -3.9864507000e+00 -2.9064507000e+00 
3.0911000000e-01 -3.0000000000e+00 -3.9864529510e+00 -2.9064529510e+00 
3.2808000000e-01 -3.0000000000e+00 -3.9865172653e+00 -2.9065172653e+00 
3.3017000000e-01 -3.0000000000e+00 -3.9865153043e+00 -2.9065153043e+00 
3.4745000000e-01 -3.0000000000e+00 -3.9865093396e+00 -2.9065093396e+00 
3.4935000000e-01 -3.0000000000e+00 -3.9865059374e+00 -2.9065059374e+00 
3.6558000000e-01 -3.0000000000e+00 -3.9864914311e+00 -2.9064914311e+00 
3.6737000000e-01 -3.0000000000e+00 -3.9864863630e+00 -2.9064863630e+00 
3.8261000000e-01 -3.0000000000e+00 -3.9864412763e+00 -2.9064412763e+00 
3.8428000000e-01 -3.0000000000e+00 -3.9864330188e+00 -2.9064330188e+00 
3.9859000000e-01 -3.0000000000e+00 -3.9860295993e+00 -2.9060295993e+00 
4.0016000000e-01 -3.0000000000e+00 -3.9860113718e+00 -2.9060113718e+00 
4.1359000000e-01 -3.0000000000e+00 -3.9809536450e+00 -2.9009536450e+00 
4.1507000000e-01 -3.0000000000e+00 -3.9808632399e+00 -2.9008632399e+00 
4.2768000000e-01 -3.0000000000e+00 -3.9241218913e+00 -2.8441218913e+00 
4.2907000000e-01 -3.0000000000e+00 -3.9232644209e+00 -2.8432644209e+00 
4.4091000000e-01 -3.0000000000e+00 -3.7029015575e+00 -2.6229015575e+00 
4.4222000000e-01 -3.0000000000e+00 -3.6957638447e+00 -2.6157638447e+00 
4.5334000000e-01 -2.9999994504e+00 -3.4683326264e+00 -2.3883326264e+00 
4.5456000000e-01 -2.9999994484e+00 -3.4480207630e+00 -2.3680207630e+00 
4.6500000000e-01 -2.9673179778e+00 -3.1734039046e+00 -2.0934039046e+00 
4.6615000000e-01 -2.9672476651e+00 -3.1440409114e+00 -2.0640409114e+00 
4.7595000000e-01 -2.6451756286e+00 -2.8144353453e+00 -1.7344353453e+00 
4.7703000000e-01 -2.6212060549e+00 -2.7768046471e+00 -1.6968046471e+00 
4.8623000000e-01 -2.3034378408e+00 -2.4594110291e+00 -1.3794110291e+00 
