EXPORTED CROSS SECTION DATA
284 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
8.6940000000e-02 0.0000000000e+00 -9.5598384751e-01 1.2401615219e-01 
9.6840000000e-02 0.0000000000e+00 -9.5598393363e-01 1.2401606620e-01 
1.5690000000e-01 0.0000000000e+00 -9.5598389849e-01 1.2401610134e-01 
1.6350000000e-01 0.0000000000e+00 -9.5598386681e-01 1.2401613365e-01 
2.0855000000e-01 0.0000000000e+00 -9.5598482189e-01 1.2401517858e-01 
2.1350000000e-01 0.0000000000e+00 -9.5598479912e-01 1.2401520049e-01 
2.4354000000e-01 0.0000000000e+00 -9.5616941843e-01 1.2383058118e-01 
2.4684000000e-01 0.0000000000e+00 -9.5617218413e-01 1.2382781591e-01 
2.7846000000e-01 0.0000000000e+00 -9.8584835563e-01 9.4151644859e-02 
2.8193000000e-01 0.0000000000e+00 -9.8607342497e-01 9.3926575491e-02 
3.0642000000e-01 0.0000000000e+00 -9.8648740248e-01 9.3512597534e-02 
3.0911000000e-01 0.0000000000e+00 -9.8649172129e-01 9.3508279145e-02 
3.2808000000e-01 0.0000000000e+00 -9.8656234627e-01 9.3437653983e-02 
3.3017000000e-01 0.0000000000e+00 -9.8656281844e-01 9.3437181665e-02 
3.4745000000e-01 0.0000000000e+00 -9.8656560527e-01 9.3434395283e-02 
3.4935000000e-01 0.0000000000e+00 -9.8656553400e-01 9.3434466238e-02 
3.6558000000e-01 0.0000000000e+00 -9.8656530605e-01 9.3434694284e-02 
3.6737000000e-01 0.0000000000e+00 -9.8656517538e-01 9.3434824502e-02 
3.8261000000e-01 0.0000000000e+00 -9.8656413291e-01 9.3435866613e-02 
3.8428000000e-01 0.0000000000e+00 -9.8656395177e-01 9.3436048393e-02 
3.9859000000e-01 0.0000000000e+00 -9.8655417668e-01 9.3445823841e-02 
4.0016000000e-01 0.0000000000e+00 -9.8655383319e-01 9.3446166772e-02 
4.1359000000e-01 0.0000000000e+00 -9.8642702556e-01 9.3572973862e-02 
4.1507000000e-01 0.0000000000e+00 -9.8642538930e-01 9.3574610339e-02 
4.2768000000e-01 0.0000000000e+00 -9.8486869790e-01 9.5131302284e-02 
4.2907000000e-01 0.0000000000e+00 -9.8485549003e-01 9.5144510364e-02 
4.4091000000e-01 0.0000000000e+00 -9.7797502886e-01 1.0202497117e-01 
4.4222000000e-01 0.0000000000e+00 -9.7792327931e-01 1.0207672032e-01 
4.5334000000e-01 0.0000000000e+00 -9.7131894701e-01 1.0868105262e-01 
4.5456000000e-01 0.0000000000e+00 -9.7125616829e-01 1.0874383204e-01 
4.6500000000e-01 0.0000000000e+00 -9.6200723209e-01 1.1799276824e-01 
4.6615000000e-01 0.0000000000e+00 -9.6176880639e-01 1.1823119317e-01 
4.7595000000e-01 0.0000000000e+00 -9.2719891491e-01 1.5280108466e-01 
4.7703000000e-01 0.0000000000e+00 -9.2540158540e-01 1.5459841461e-01 
4.8623000000e-01 0.0000000000e+00 -8.7538698873e-01 2.0461301128e-01 
4.8724000000e-01 0.0000000000e+00 -8.6831324834e-01 2.1168675166e-01 
